0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.5143924,-1.554792,0.8660356,-0.24345933,-0.157442,0.6557372,0.23844372,0.8479576,-0.13287468,-0.115316115,-0.13920501,-0.1136336,-0.09090077,-0.15869978,1.0
-0.3392801,0.33695766,0.84450024,-0.23607032,-0.157442,0.60681593,0.076551154,0.9043444,-0.13214818,-0.11495111,-0.13817334,-0.1132934,-0.09088451,-0.6175941,1.0
2.2582192,-2.1159997,-2.2823195,5.6452885,7.6809673,-5.788424,-5.370044,-1.2402332,3.671571,2.7894702,4.269343,2.7147696,1.7797898,-0.40412596,0.0
-0.30188632,0.25564057,0.40792254,-0.23242506,-0.157442,0.49062794,0.08734399,0.63901925,-0.13300344,-0.115383714,-0.13939032,-0.11369493,-0.090903334,0.08162199,1.0
-0.5563464,0.68532276,1.0089511,-0.26503524,-0.157442,0.2643671,0.0886931,0.96146524,-0.13316898,-0.11546932,-0.13962913,-0.113772824,-0.09090762,-0.95842147,0.0
-0.22709878,0.5125752,0.65557754,-0.14493915,-0.15386046,-0.04139078,-0.5926048,0.17595051,-0.13194585,-0.11484746,-0.13788295,-0.11319817,-0.090879366,1.5034245,1.0
-0.45419756,-0.31398898,0.46273926,-0.1568601,-0.14356354,-0.17592426,-0.55482984,0.2654169,-0.13192746,-0.11483394,-0.13784665,-0.11318607,-0.090879366,0.97482467,1.0
2.2427144,0.17260039,-0.3444401,-0.25025117,-0.15383291,-0.44715598,0.95496327,-0.78491825,-0.1316694,-0.11470298,-0.13748474,-0.11306715,-0.090873376,-0.7037326,0.0
-0.56273067,0.30212912,0.90928817,-0.26466668,-0.157413,-1.1990248,-0.30650765,1.0002799,-0.13325116,-0.11546817,-0.1397951,-0.11376728,-0.09083096,-1.0746148,0.0
-0.5499621,0.44147372,0.72261226,-0.25790974,-0.157442,0.5596265,0.16110471,0.8549314,-0.13253164,-0.1151395,-0.13871293,-0.11347124,-0.09089279,-0.83499485,0.0
-0.46423003,0.08323476,0.034971416,-0.15045628,-0.11267276,-0.24930614,-0.5669718,0.34208268,-0.13135728,-0.11454554,-0.13704044,-0.11292054,-0.09086653,0.78597146,1.0
-0.22892286,0.5064252,0.6771129,-0.15291929,-0.15654662,-0.04139078,-0.5710191,0.18044677,-0.1318447,-0.11479338,-0.13773394,-0.113148935,-0.09087766,1.4635735,1.0
0.6484628,1.5409971,-3.0200942,-0.26592192,1.7864388,-1.8147866,0.33557925,-5.6557426,-0.12585783,-0.11174713,-0.12917688,-0.11033058,-0.09074241,-1.0316392,1.0
2.2390661,-1.3584694,0.1387322,-0.25104538,-0.15162201,-0.43887603,0.9683094,-0.86062056,-0.13149522,-0.11461764,-0.13723911,-0.11298631,-0.090869956,-0.77834904,0.0
2.2472746,-0.2673291,-0.47845125,-0.26592192,-0.157442,0.43207115,1.5745238,-0.77051187,-0.13154562,-0.11464233,-0.13730596,-0.11300816,-0.09087027,-0.62321794,0.0
